Summary
"The Patch Status (Detailed) report provides information on devices that have missing patches and on the severity of missing patches. It includes a summary report of the status of patches, failed patch installation attempts, and a list of patches per devices that can be filtered by age of the missing patches or by patches applied within a specified time period."



Company Name:,IFWORLD Inc. 
Report:,Patch Status (Detailed) 
Period:,24 Hours 
Start Date and Time:,2015-Dec-22 10:00 
All Devices, 
Created on:,2015-Dec-23 10:37 
Classification:,"Critical Updates, Security Updates, Service Packs, Update Rollups, Updates" 
Status:,"Aborted, Declined, Failed, In Progress, Installed, Installed With Errors, Needed Unapproved, Not Installed" 

Number of Devices by Classification

Device Class,Service Packs,Updates,Critical Updates,Update Rollups,Security Updates
Laptop - Windows,1,12,4,4,7,
Workstations - Windows,2,49,7,4,12,
Servers - Windows,0,0,0,1,1,


Number of Modified Patches by Classification

Device Name,Device Class,Newest Modified Patch,Critical Updates,Security Updates,Service Packs,Update Rollups,Updates
DFERGUSON-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
horticulturenew,Workstations - Windows,0,0,3,1,26,0,0,0
kiosk-7,Workstations - Windows,0,0,1,0,1,0,0,0
KERRY8700,Workstations - Windows,0,0,1,0,0,0,0,0
arthur-e5540,Laptop - Windows,0,0,1,0,0,0,0,0
NURSESTN4-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
ao-dc1,Servers - Windows,0,0,0,0,3,0,0,0
ArnoldClinic-3,Laptop - Windows,0,0,0,0,85,0,0,0
Facility-PC,Workstations - Windows,0,0,1,0,0,0,0,0
SCC-HOUSE1,Workstations - Windows,0,0,1,0,1,0,0,0
dietary-hcc,Workstations - Windows,0,0,1,0,1,0,0,0
LWILLEY-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
ACCTS-PAY-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
RESCARE-NURSE,Workstations - Windows,0,0,1,0,1,0,0,0
CHUCKABEE,Workstations - Windows,0,1,0,0,32,0,0,0
kiosk-2,Workstations - Windows,0,0,1,0,1,0,0,0
kiosk-4,Workstations - Windows,0,0,1,0,1,0,0,0
mburks-opt3020,Workstations - Windows,0,0,1,0,1,0,0,0
sean5540,Laptop - Windows,0,0,1,0,0,0,0,0
MSILVA-V3550,Laptop - Windows,0,1,1,0,1,0,0,0
kiosk-8,Workstations - Windows,0,0,1,0,1,0,0,0
pmwariri-hcc,Workstations - Windows,0,0,1,0,1,0,0,0
LAB2-PC-NEW,Workstations - Windows,0,1,0,0,0,0,0,0
ghodges-e5530,Laptop - Windows,0,0,1,0,19,0,0,0
ACCTS-PAY,Workstations - Windows,0,0,1,0,18,0,0,0
mp390-621,Workstations - Windows,0,0,1,0,1,0,0,0
pporter-opt3010,Workstations - Windows,0,0,1,0,19,0,0,0
Aquatic-Office,Workstations - Windows,0,0,1,0,1,0,0,0
dellvenue-aj,Laptop - Windows,0,0,0,1,9,0,0,0
ACCNTS-PAYABLE,Workstations - Windows,0,0,1,0,1,0,0,0
dhenry-hcc,Workstations - Windows,0,0,1,0,0,0,0,0
kiosk-6,Workstations - Windows,0,0,1,0,1,0,0,0
CHOUSER-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
HCC-Development,Workstations - Windows,0,1,1,0,1,0,0,0
adele-opt3020,Workstations - Windows,0,0,1,0,40,0,0,0
bcochran-3010,Workstations - Windows,0,1,0,0,0,0,0,0
Maintenance-Laptop,Laptop - Windows,0,1,1,0,20,0,0,0
kiosk-1,Workstations - Windows,0,0,1,0,1,0,0,0
rking-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
ProgramTech,Workstations - Windows,0,0,1,0,1,0,0,0
Be-Ann-PC,Laptop - Windows,0,0,1,0,0,0,0,0
gsosebee-win7,Workstations - Windows,0,0,1,0,0,0,0,0
RESIDENT-SERV,Workstations - Windows,0,0,1,0,1,0,0,0
oscarvostro,Workstations - Windows,0,0,1,0,1,0,0,0
ALCLAPTOP,Laptop - Windows,0,0,1,0,28,0,0,0
